doc_id,clean_text,Sentiment
14,"Watch this in IMAX!!!! The entire movie has an expanded aspect ratio. You're watching about 70% of the image on normal screens, plus on way smaller screens with worse speakers. I promise, it's worth it

WOWOWOWOWOW. This movie blew me away. I love it. A LOT. From beginning to end. Everything. I walked out of the movie so hyped, silent-screaming under my mask as i walked to the car. It's been a while since i walked out of a movie this happy. I have so much to say.

I love the MCU (a lot), but there are a few things that are frequently lacking. One of them is good fight scenes. They always have awesome action scenes, but specifically fight scenes are usually pretty good, only great in a few movies like civil war and winter soldier. And in general, fight scenes in American movies pale in comparison to Asian cinema (Ip man, The Raid Redemption, anything Jackie Chan).

The fight scenes in this movie.... how do i describe it... amazing martial arts that's fast but clear, filmed in creative and astonishing ways without a hint of shaky cam or quick cuts, against stunningly beautiful backdrops... phenomenal. And they continuously focus on the fights instead of cutting to a different scene after 10 seconds like i've noticed in the MCU.

This is BY FAR the best fighting in the MCU and it's not even close. Has to be up there with the John Wick series and Netflix's Daredevil as some of the best we've seen in America lately. I loved the first major fight scene so much that i was worried it would be the best one of the movie, far too early. Lol. I be stupid sometimes

Another frequent flaw in the MCU is lack of compelling villain. Nope. Awesome awesome awesome. That's all i'll say.

Another of my frequent complaints is that the musical scores, with some exceptions, don't stand out. I think they heard. They're on a good streak with the shows and Black Widow. It's not as amazing as the Loki score but i liked it. It felt unique to this new franchise.

Still so much more to say, need to go faster. This is one of the best, maybe THE best, story in the MCU, especially the way it's told. I loved all the characters, i loved all the casting choices, i loved the performances. There are scenes of dialogue that gave me goosebumps. All the emotional moments hit. All the callbacks hit. There isn't anything that didn't work for me. There's no such thing as a perfect movie, but mannnnnn.

Lmao i didn't mention the cinematography. Why would i wait this long? It's MESMERIZING. A lot. Throughout. It's candy for your eyes.

It's also nice to see well-written comedy with jokes relevant to the scene and characters, that feels organic. As opposed to the ""insert joke here"" method we've been seeing more of, especially in Far From Home.

What's the opposite of formulaic? That's this movie. I never knew what to expect next (helps that i didn't watch a single trailer, they ruin movies). Definitely doesn't feel like a typical MCU movie. It has it's own unique tone and feel and character.

Continuing what i said in my headline, i have this thing where i get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes. Don't know why it happens, don't know if it happens to other ppl. Maybe it's partly because i can't risk blinking. That happened in this movie numerous times. Like ""this is the coolest thing i've ever seen in my life."" hyperbole, but mannnnn

after endgame finished phase 3 (yes i know spider-man), i was so happy and satisfied with the MCU. But i wasn't sure they could ever recapture that magic again. I knew i would watch everything and it would probably mostly be awesome. But i wasn't expecting top-tier stuff any more. Lol. I be stupid sometimes. I am ecstatic to have that notion obliterated. As of now, this is a top 6 MCU movie for me. Wow

All in all, i adore this movie. You may wonder why i wouldn't give it a 10 after all this raving. 10s are super rare for me, only 13 of them, and i watch thousands of movies. Interstellar, inception, mad max fury road, etc. Movies that shouldn't even be called movies. My 9s are rare too, they are my favorite movies. 10s are my favorites of my favorites. Only superhero movies i've given 10s are dark knight, dark knight rises and civil war.

If you're still reading, wow you're awesome! I think this is my longest review other than Interstellar.

I'm still in such a good mood. I can't wait to watch it again, in IMAX. I want to wait a week so it feels fresher, but i might not be able to! (3 viewings, 9/2/2021, 9/5/2021, 9/22/2021)",negative
15,"Shang Chi was nowhere near the top of my most anticipated MCU films over the years but it just about surprised me more than any of their films to date. Loaded with pulse pounding action (most in camera for once), a friendship turned possible romance you genuinely care about, and a lead that you can absolutely see taking the place of someone like Chris Evans as the ""face"" of the MCU for years to come. What an absolutely brilliant work of art.

9.2/10.",positive
16,"It was good. So far, it's in my top10 list of 2021 movies. However, I wasn't rly hooked up, jokes seemed to be outdated, some scenes were rushed. I liked visuals but that's it, I expected more from Marvel.",negative
17,"This movie features the lesser known Marvel superhero Shang-Chi, who's a former assassin from China hiding out in the USA. He goes back to China when assassins come after him, who are also after his sister. It turns out his father is the real Mandarin who sadly doesn't get to meet Iron Man. His impersonator from ""Iron Man 3"", played by Ben Kingsley is there and is a lot of fun. It's a nice throwback to the older Marvel films and a good way to satisfy the fans. I like how there's two people of the same gender who are not love interests.

We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie. My only complaint is that it is a bit too long. It's still amazing with gorgeous designs of the creatures. It truly is a unique film to have a mostly all-Asian cast in a superhero movie. I recall an interview when the actor said a lot of Chinese people are called Bruce Lee. That makes the documentary ""The Problem With Apu"" even more idiotic. ***1/2.",positive
18,"With no real concept of the character or the story, I didn't really know what to expect from Shang-Chi and the Legend of the Ten Rings. I was pleasantly surprised. This Marvel action film is above average, and features impressive visuals, engaging action scenes, and entertaining characters. There are some missing pieces in the story, which they may be saving for later, but overall, I enjoyed this introduction to a new MCU superhero.",negative
19,"Daniel Destin Cretton created a tranquil really well filmed marvel story driven fun time! Simu Liu and a surprise character were the best along Awkwafina which is always delightful. I really appreciate the direction of everything especially the effects, action, cinematography, and the silliness is good! Might be odd or understandable this is one of the best marvel films.",positive
20,"""Shang-Chi and the Legend of the Ten Rings"" is an Action - Fantasy movie in which we watch a new era of Marvel Studios rise with Shang-Chi, the master of Kung Fu. He has to face his past involving him with the Ten Rings organization and crate his future accordingly.

I have to admit that I had my doubts about this movie but I was proven very wrong since it's an amazing movie. It has a beautiful and very interesting plot that keeps you in tense through its whole duration consisted of plenty of action and nice CGIs. For one more time Marvel succeeded on creating a nice atmosphere and connecting the previous movies with this one with many Easter Eggs so, we expect more in the near future. The interpretation of Simu Liu who played as Shaun / Shang-Chi was simply outstanding and he made the difference. Some other interpretations that have to be mentioned were Tony Chiu-Wai Leung's who played as Xu Wenwu, Michelle Yeoh's who played as Ying Nan, Meng'er Zhang's who played as Xialing and Awkwafina's who played as Katy. The comic relief role of Ben Kingsley as Trevor Slattery was a brilliant idea that also gave something different in the movie. Finally, I have to say that ""Shang-Chi and the Legend of the Ten Rings"" is an amazing movie and I strongly recommend everyone to watch it, especially the fans of Marvel.",positive
21,"5 out of 5 stars.

Shang-Chi and the legend of the Ten Rings is an awesome and exciting mcu film that brings the stunning world with the asian culture. I will say i enjoyed this more than the previous mcu film Black Widow. Shang Chi introduces a new mcu character played by Simu Liu. And Awkwafina which is also a fun addition. While they are being chased by an organization called ten rings. Lead by his father Tony Leung. While Shang Chi learns his abilities and the ten rings. Before his father is trying to use that power for a personal reason.

Great epic plot. Shang Chi and Katy (Awkwafina) enter a hidden world Ta Lao where there is magical mythical creatures. Is like a wow stunning moment when you first see Wakanda in Black Panther. The film does give an emotional story build up and a villain that can be relatable.

The cast ensemble is great. Simu Liu did great with the character along with Awkwafina as his friend. Meng'er Zhang, Michelle Yeoh, Benedict Wong, Florian Munteanu, and Tong Leung all did great.

The set designs and visual effects are stunning and great. Can be colorful at moments. The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography. Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.

There are two mid and post credit scene which sets up for further films and has a fun nod to the mcu.

I will say Shang Chi is a great exciting addition and i found the film to be very fast moving. Action packed. And a great family conflict story that is emotionally driven.",positive
22,"Showing no signs of slowing down hot off the heels of Black Widow, a raft of well-received Disney+ series and arriving not too far in front of the hotly anticipated The Eternals, Marvel continues to put in work that puts many other wheelhouses too shame, with the marital arts infused Shang-Chi and the Legend of the Ten Rings, yet another entry into the brands increasingly loaded catalogue of quality blockbuster releases.

It's hard to pinpoint exactly what Marvel keep doing to maintain the momentum that started all those years ago with 2008's Iron Man, it's absolutely correct when many say a lot of these origin stories and event pictures follow a very set formula from A to B, but with an ability to attract some of the best actors working in the industry today and handpicking a raft of some of the most exciting Hollywood filmmakers around, Marvel have once more struck gold with the incredibly fun and inventive Shang-Chi.

Quite possibly the most visually sumptuous Marvel film yet, sometimes feeling as if Marvel has meet with Ang Lee/Yimou Zhang and in my mind the Marvel film that features the best choregraphed action scenes yet from the spectacle heavy brand, Shang-Chi is a big screen blast that is freshly directed by the upcoming Destin Daniel Cretton who here has got his just rewards after his great debut Short Term 12 and the sadly undervalued The Glass Castle came before this big-budgeted ride.

Infusing his film with a great energy and charm that is enhanced by the work of leads Simu Liu (in a career launching turn) as our likable hero Shaun/Shang-Chi, Awkwafina (doing her usual but fun schtick) as Shaun's bestie Katy and Tony Leung as the unfortunate villain of the piece Xu Wenwu, Cretton has turned out to be the perfect choice to start off the cinematic journey of the fist swinging Shang-Chi and helps instill in his film some nice differences to what we've come to expect from comic book blockbusters of the modern era.

Most notably for the film is the exciting use of hand to hand combat that is delivered spectacularly in two stand out sequences on board a moving bus and then bettered alongside a high rise building in Macau, both these set pieces are easily some of the most noteworthy of any Marvel film yet while also benefiting the film other than its Asian infused eccentricities is the fun relationship between Shang-Chi and Katy than never bothers with adding extra baggage to add weight to their believable and fun friendship.

If there was a major drawback to Shang-Chi's many wins it is in an overdrawn finale, a major problem many have acknowledged previously when it comes to Marvel films, Cretton and his team can't quite stick the landing for Shang-Chi with it being a little too long in the tooth for its own good and slightly overblown and while it features some incredible imagery and technical wizardry, the films rip-roaring start and strong middle section gives way too something lesser.

Final Say -

Another huge win for Marvel who have here with the help of director Destin Daniel Cretton and his talented cast, created an instantly likable cinematic universe that provides the comic kings with one of their most unique and exciting playgrounds yet.

4 chicken-pigs out of 5.",positive
23,"Shang-Chi and the Legend of the Ten Rings (2021) : Brief Review -

Yet another superb stand-alone superhero flick in MCEU's kitty. MCEU's new phase never looked so promising but their products are delivering Better than expected. That Spider Man flick in 2019, right after Endgame, changed many perceptions about Marvel's future and even though couple of their recent series like 'Wanda Vision' and 'Loki' couldn't emerge as clear winners, they have set a solid base for upcoming new stories. Shang-Chi is a new start by all means. Not only because it comes under new phase but mainly because it is a stand-alone film and with a new superhero who is more like using traditional combat methods along with ancient superpowers. When Captain America or Black Panther begun as Stand-alone films, they promised too much and thankfully fulfilled it. Shang-Chi does the same. It may not promise too much like Steve Rogers and Wakanda stories but the point where it ends surely gives us hints of new assembled version of superheroes in Multiverse. Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization. The film has major portion covered by Family values and hence, it may look predictable but does not bore at all. Yes, few scenes are outdated and too dramatic as if we are watching a Superhero Film made in 90s but let's just forget those weak points as Shang Chi has excelled in Visual spectacle. The screenplay could have been better in the second half when the big War was supposed to take place but it actually looks tiny one except for those two humongous dragons which might remind you of 'The Hobbit'. Performances by Simu Li, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu are fine according to less potential available for the roles. Actually, the humour and tone of these characters was great. They all looked normal people when they were not fighting and even though the film has ancient refrences, the character don't actually go too deep to become expressive. Director Destin Daniel Cretton seemed slightly off track in the beginning when he tries to humanise all the characters with that typically teenage humor but as the film goes ahead, he recovers from the childish entanglement. With super explosive climax he surely makes up for his mistakes, rather makes us forgive it. Overall, Shang Chi is another superb entertainer for Marvel Fanboys and even neutrals are gonna enjoy it.

RATING - 7/10*

By - #samthebestest.",negative
24,"Action great (except cacophonous dragon fight), acting decent, visuals good, story predictable...the whole this is fine, but I have a more pressing matter to address here. I have yet to watch an MCU movie and felt like I got enough Wong. More Wong. Always more Wong.",negative
25,"For the first time in a couple of years, since 2019's ""Captain Marvel"" the MCU introduces us to a brand new hero. Simu Liu who, rather impressively, first asked for the role on Twitter brings us Shang-Chi in a film that perhaps does have some issues with it's ending, but ultimately is a fun, funny ride of the type Marvel have been perfecting for the last 13 years.

Talented, but somewhat aimless, Shaun (Simu Liu) lives in San Francisco working as a valet with his friend Katy (Awkwafina). When he's attacked on a bus, he's forced back into the world of his father, a ruthless terrorist Xu Wenwu (Tony Chiu-Wai Leung). First visiting his sister, then returning to the Ten Rings compound, Shang-Chi decides to use his skills to defend his late mothers sacred homeland against invasion from his father and for control of ten mystical arm rings, weapons that grant their owner immortality and unearthly power.

If ""Black Widow"" was considered a wobble for the MCU, despite the fact I thought that it's a perfectly fine film, then it was important to come back with something that was undeniably excellent. ""Shang-Chi"" was that. It's the perfect balance of humour and action that Marvel have established over the last few years. The action too is tweaked slightly, to more closely resemble the types of Asian led action films that we've seen previously, be that the Jackie Chan style bus fight, or the ""Crouching Tiger, Hidden Dragon""-esque flashback fight between Shang Chi's parents. There's some lovely links to the wider MCU, including a return for Benedict Wong's Wong and for Trevor Slattery, Ben Kingsley's ""Iron Man 3"" character whose masquerading role as The Mandarin was one of the MCU's most divisive moments.

It's not perfect. The ending is perhaps a little rushed and lacking a moment or two of redemption earning for Xu Wenwu, but the peaks at the future for the character, and for the 10 Rings organisation is an interesting addition, plus our first real step on what might be the route to the next big bad. Excellent stuff.",positive
26,"Shang-Chi and the Legend of the Ten Rings stars Simu Liu in the lead role alongside such heavy names as Tony Leung and Michelle Yeoh in this latest installment to the Marvel Cinematic Universe. Liu's Shang-Chi must come to his own as the son of the legendary Mandarin (Leung), the owner of the Ten Rings.

I like this film's style most of all. Director Destin Daniel Cretton mixes Chinese wuxia settings and aesthetics with Hong Kong wire kung fu inspired action set pieces, while still keeping it feeling like a Marvel film. There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.

Kudos also to the whole filming for these action scenes. Very little shaky cam or jump cuts, especially for the hand to hand scenes. Exactly as it should be. I'd dare to say that this film has some of, if not the best action set pieces in all of MCU.

One of the most thrilling and visually spectacular end battles as well, come to think of it.

Furthermore, the acting is solid, especially from Liu, Leung and Awkwafina, who plays Shang-Chi's American friend. Meng'er Zhang as Xialing, Shang-Chi's younger sister, was perhaps my only real gripe with the film. I could have used either a bit more edge to her or alternatively a lot less. Now she seemed to flipflop between relatable and aggravating.

All in all, not the best Marvel movie by any means, but that's a really high bar to clear. I can simply say that based on this, I'm very optimistic about MCU's continued future.",neutral
27,"It was better than the proceeding Marvel movie Black Window. More exceeding the expectations of a Marvel movie. Shang-Chi feels like the marvel movie experience is starting to get back to the normal of the theme ride Martian Scorsese believes they are (I can't disagree, just note that's what I want)

In comparison Shang-Chi is a lower level character. I am a fan of Marvel comics but got more of the references to the Marvel Cinematic Universe in this movie than to the direct comic book references. Those Marvel cinematic universe references were amazing enough to get over the fact that the obvious comic book ones went over my head. I mean this movie's connection to other movies is great fanfare that makes me love it more. So really cool cameos happen that actually move the story along.

I did like what they did with the Mandarin here but do feel they copied and paste a lot of things into the story of Shang-Chi to make a complete movie for a lower level character. From the little I know of the character he more fits into those Netflix's shows they did a few years back but change him enough to justify a blockbuster.

They did succeed in making Shang-Chi's background more fuller. The relationship between him and his father and sister was beautiful, complex and more importantly, never bored me and of course Awkafina as the comedy relief and best friend to Shang-Chi was strategic gold. The story for the background was not that full. It's really a character driven movie for without the amazing performances from a group of actors who know their stuff this story would fall short.

Note, I loved the fact that Michelle Yeoh was in this movie and that gives it a lot, but she's done way better in less effective films (but she most likely got a huge paycheck from Disney just to wave her hands around).

The special effects were good in this flick. I was impress with what was used to make the final conflict and I was convince that the dude from Kim's Convenience was a master of kung fu

Its a good movie but it did not live up to my high expectations of it. It gave me a lot of cool things but really did not give me anything I did not see before, in movies that did it better, but if it's about anything I did spend the rest of the day pretending I knew Kung fu.",negative
28,,positive
29,"Eluding his difficult past, a young man from China has been content playing it safe in San Francisco for the past several years even though he lacks a true sense of self. But when drastic circumstances draw him back to his conspicuous origins, he has no choice but to face his demons head on. Continuing to expand its cultural horizon the MCU's first Asian-centric movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat, and of course the expected teases going forward, but some of the more elaborate action set pieces lack needed tension, much of the exposition and backstory isn't very engaging, and up until the third act many of the emotional aspects of the narrative aren't as rich or compelling as they could be. Some of the humor is strained, but it's efficiently cast and provides enough to be a distinctive entry into the Marvel world. **½",negative
30,,positive
31,,positive
32,"6/10 - I seem to be the only one to not be marveling at the latest Marvel Studios offering, but while this movie is technically sound (visual effects, stunt work, sound, cinematography, you name it), I found it to be mostly a rehash of things I've seen before (maybe I'm just getting tired of all these superhero movies)",negative
33,"Shang-Chi and the Legend of the Ten Rings (2021) is a movie my wife and I recently watched at the theatre. The storyline for this movie follows a young man and his best friend who work as parking attendants and are one day attacked by super villains. As they dig into the young man's past they discover his father is behind the attack with the purpose of hopefully brining his family back together. This movie is directed by Destin Daniel Cretton (Just Mercy) and stars Simu Liu (Blood and Water), Tony Chiu-Wai Leung (Infernal Affairs), Ben Kingsley (Iron Man 3), Michelle Yeoh (Crouching Tiger Hidden Dragon) and Awkwafina (Crazy Rich Asians). The storyline for this movie is way better than it should be and has crazy depth around all of the characters. You really understand the what, when and why behind every circumstance and perspective. The acting is outstanding and the characters are perfectly portrayed. The special effects are awesome both in terms of the action scenes and backdrops. The dragons may have been a bit overdone; but other than that, A++++. The choreography was also excellent and seeing Yeoh in this really made me smile. This movie is way better than it should be and is a worthwhile addition to the marvel universe. I'd strongly recommend it. I'd score this a solid 8/10.",positive
34,"Bringing martial arts into this franchise is well.... a breath of fresh air from Marvel. Showcasing a series of excellent action sequences. There are some very intelligent minds be hide this origin story fantasy sci-fi feature. Shang-Chi and the Legend of the Ten Rings is one of the best MCU films. Pro-tip, at some point in your lives seek this gem out ! This is going to be very solid UHD HDR blu-ray and the 3D is very impressive albeit some minor cross-talk but forgivable as the are some very intricate set pieces for the left and right eye to navigate via the post conversion 3D. Very well done over all.

The visuals were absolutely stunning, comedic relief was always on point, fight sequences were sleek yet powerful. The story arch is well paced and unfolds gradually so one can get emotionally involved with the films characters , the acting is superb on all fronts from the films talented ensemble . The directing and pacing is spot on.

Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.",positive
35,"The next instalment of the MCU, Shang-Chi and the Legend of the Ten Rings has come out and I managed to see it the other day and I have finally found time to review it and here is my review for it. The premise of the film sees a young martial artist forced to face his past when his criminal father comes hunting for him.

Main Character Relative unknown Simu Liu plays Shang-Chi and he is really good in this role. He really delivers a strong performance and you will come out of the film really liking him and caring about the character of Shang-Chi. The focus on his family dynamic is really well done and Liu does a great job in selling that and showing the pain that he has been through in his life and bringing this great hero to life. He is also fantastic in the action scenes and that is a huge part of this film and you have to believe in the heroes capabilities and I really did.

Supporting Characters Awkwafina plays his best friend Katy and I feel like this character is really going to split opinion, some will hate her, some will love her. I pretty much hit both ends of the spectrum, I thought she was really annoying in the first act of the film and it hurt my enjoyment, but as she had her role slightly lessened she became much more likeable and her character arc became very clear. Tony Leung plays his first role in an American film playing Wenwu and this is one of the best antagonists in the current MCU. I loved this character and performance, he isn't just some generic bad guy and at times I really understood his motivations and saw the emotion from his performance and it was really strong. Meng'er Zhang plays Xialing and I liked her character here and I thought it really complemented Shang-Chi really well. There is clearly issues there and the film plays it up well, and makes her more then just this female sidekick and she is given a personality.

Story The story is at its strongest when it focuses on the family issues between the characters, in particular Shang-Chi and Wenwu. That father and son dynamic is great and both actors deliver really well in their roles and it makes there clashes feel even more important as you genuinely care about both of them in the film. The issue is that the film kind of strays away from that and tries to focus on too much. It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great. The final act puts the focus in the wrong place, its hard to explain without spoilers but I think you will know what I mean if you watch the film.

Script The script is okay, the drama is really well done and made me care about these characters and the emotional predicaments that they are put in during this adventure and I actually think this film is held back a little bit by the fact that it is in the MCU. What I mean by that is that it has the humour you come to expect from the universe is here but it is done poorly and I never really laughed at all and that was a disappointment.

Style The film looks fantastic, the CGI is all beautiful and I think it does an excellent job of building this world of Martial arts that is very different to other elements of the MCU. The fight scenes live up to the hype and are the best that have been seen in The Marvel Cinematic Universe, the flow so well and are so hard hitting that it is easily the best element of the film.

Overall Overall, Shang-Chi and The Legend of The Ten Rings is a great film and another solid addition to The Marvel Cinematic Universe. It isn't top tier Marvel but does a great job of introducing a new hero in Shang-Chi.",negative
36,"Car valet (Liu) and his friend are attacked by warriors working for his father who is a 1,000 year old owner of the 10 rings which gives him phenomenal powers. He and his sister are eventually captured by their father who reveals what his strange intentions are and how they fit in.

Wonderful action packed fantasy adventure is brilliantly bought to life by a great cast and some great action sequences including some staggeringly beautiful fantasy scenes. Extraordinary how this almost child like fantasy film can so successfully bridge a chase scene across modern day San Francisco with battles with dragons whilst maintaining a goodly degree of drama snd humour. Huge fun.",positive
37,"Shang-Chi and the Legend of the Ten Rings is yet another movie inspired by the Marvel universe that has constantly been inspiring the cinematic world for more than a decade now. While the movie follows the usual stereotypes, it manages to stand out with its stunning special effects and locations.

The movie revolves around Shaun, a Chinese immigrant living in the United States of America who is working as a valet with his quirky friend and soulmate Katy. One day, they get attacked by a group of assassins on a bus and only just manage to survive. Shaun immediately understands that the attack must be related to his influential estranged father. Along with Katy, he decides to team up with his tough estranged sister Xialing to find out what's going on.

This film convinces on multiple levels. First of all, the acting performances are quite quirky and convincing. Especially the ladies steal the show. Awkwafina delivers the goods as curious, dynamic and funny woman that anyone would like to have as a friend. Zhang Meng'er on the other side represents a much darker character shaped by dramatic events from the past who is much more difficult to approach with her tough, relentless and independent personality.

The expensive special effects certainly deliver the goods as well. The scenes in a fantasy world, in Ancient China and in contemporary San Francisco are all equally stunning to watch. The fantastic creatures such as dragons look impressive on the big screen.

The story might be predictable but is nevertheless entertaining from start to finish thanks to steady pace and inspired execution. You will truly care about the fates of the different characters as you are watching this film.

However, this film isn't without its occasional flaws. First of all, lead actor Simu Liu simply doesn't have the charisma of the other actresses and actors involved. Casting him was a bold choice but it didn't fully pay off in my opinion.

Up next, the movie desperately tries to connect to other characters in the Marvel Universe. The appearance of Trevor Slattery played by Ben Kingsley is completely random as it only seems to be a pretext to offer some misplaced comic relief. The mid-credit scene starts in an amusing fashion but suddenly involving Bruce Banner and Carol Danvers only seems like a weak attempt to develop a hype for potential sequels. The same goes for yet another scene after the credits that evokes more questions rather than concluding the film appropriately.

At the end of the day, Shang-Chi and the Legend of the Ten Rings is an entertaining fantasy action film of the Marvel Universe that should appeal to faithful and occasional fans alike. It's one of the better films in the franchise but perhaps Marvel should focus on quality over quantity instead of becoming a monstrous capitalistic machine that is scarier than any gigantic dragon shown in the film.",negative
